n,g,N,lambdac,keff_at_lambdac,wallclock_s
2,7,34,1.069953319124534,1.0000000000000007,0.004355627000222739
2,8,55,1.065435703395582,0.9999999999999991,0.008171376999598579
2,9,89,1.0648944044759436,1.0000000000000013,0.02177497000047879
2,10,144,1.0641870453643567,0.9999999999999993,0.1211206959997071
3,6,44,1.1654008449063562,1.0000000000000004,0.008575982000365912
3,7,81,1.1562580328810064,1.0000000000000013,0.02720759600015299
3,8,149,1.1562580299224312,1.0000000000000082,0.13109075899956224
3,9,274,1.156258026958251,1.0000000000000022,0.7787585570004012
4,6,56,1.166666680260932,1.0000000000000018,0.010120653999365459
4,7,108,1.1666664716717803,1.0000000000000027,0.03603582899995672
4,8,208,1.1666649917940306,1.0000000000000029,0.35535204299958423
5,6,61,1.1666666666666685,1.0000000000000009,0.01575454600060766
5,7,120,1.1666666666666667,1.0000000000000007,0.0645472369997151
5,8,236,1.1666666666666594,0.9999999999999992,0.5380855710000105
